SellerCompanyID,SellerCompanyName,SellerSector,Period,Good,AmountTotal,AmountVAT,MarketVolume,CalcVATPeriod
1,GreenFields AgriCo,Farmers,8080,Flour,293021.2,48836.86,510208.74199999997,2020-Q1
2,Nordic Dairy Farm,Farmers,8080,Cheese,312272.92,52045.48,510208.74199999997,2020-Q1
3,TerraCrop Union,Farmers,8080,Flour,364432.74,60738.8,510208.74199999997,2020-Q1
4,AgroDistrib Europe,Distributors,8080,Soft drinks,722072.98,120345.49,510208.74199999997,2020-Q1
5,FreshLink Logistics,Distributors,8080,Detergents,367148.3,61191.369999999995,510208.74199999997,2020-Q1
6,EuroSupply Chain,Distributors,8080,Soft drinks,386732.77,64455.47,510208.74199999997,2020-Q1
8,DailyNeeds Retail,Retail (B2C),8080,Detergents,938419.24,156403.19999999998,510208.74199999997,2020-Q1
7,MarketMart Luxembourg,Retail (B2C),8080,Soft drinks,649541.51,108256.91,510208.74199999997,2020-Q1
10,LeMarché Express,Retail (B2C),8080,Detergents,507681.16000000003,84613.52,510208.74199999997,2020-Q1
9,SuperFrische,Retail (B2C),8080,Soft drinks,560764.6,93460.76000000001,510208.74199999997,2020-Q1
4,AgroDistrib Europe,Distributors,8081,Soft drinks,451475.35,75245.88,535419.213,2020-Q2
6,EuroSupply Chain,Distributors,8081,Soft drinks,532336.17,88722.7,535419.213,2020-Q2
5,FreshLink Logistics,Distributors,8081,Detergents,492245.22,82040.89,535419.213,2020-Q2
1,GreenFields AgriCo,Farmers,8081,Flour,345391.62,57565.26,535419.213,2020-Q2
3,TerraCrop Union,Farmers,8081,Flour,444211.74,74035.3,535419.213,2020-Q2
2,Nordic Dairy Farm,Farmers,8081,Cheese,522238.77,87039.79,535419.213,2020-Q2
8,DailyNeeds Retail,Retail (B2C),8081,Detergents,410483.65,68413.95999999999,535419.213,2020-Q2
10,LeMarché Express,Retail (B2C),8081,Detergents,854515.44,142419.25,535419.213,2020-Q2
7,MarketMart Luxembourg,Retail (B2C),8081,Soft drinks,698848.77,116474.78,535419.213,2020-Q2
9,SuperFrische,Retail (B2C),8081,Soft drinks,602445.4,100407.58,535419.213,2020-Q2
8,DailyNeeds Retail,Retail (B2C),8082,Detergents,438660.72,73110.11,510776.20300000004,2020-Q3
7,MarketMart Luxembourg,Retail (B2C),8082,Soft drinks,697883.31,116313.88,510776.20300000004,2020-Q3
10,LeMarché Express,Retail (B2C),8082,Detergents,406184.55,67697.43,510776.20300000004,2020-Q3
9,SuperFrische,Retail (B2C),8082,Soft drinks,675073.66,112512.26000000001,510776.20300000004,2020-Q3
5,FreshLink Logistics,Distributors,8082,Detergents,429713.13,71618.84,510776.20300000004,2020-Q3
6,EuroSupply Chain,Distributors,8082,Soft drinks,449082.54000000004,74847.09,510776.20300000004,2020-Q3
1,GreenFields AgriCo,Farmers,8082,Flour,446951.83,74491.95999999999,510776.20300000004,2020-Q3
2,Nordic Dairy Farm,Farmers,8082,Cheese,476642.51,79440.4,510776.20300000004,2020-Q3
3,TerraCrop Union,Farmers,8082,Flour,407962.56,67993.74,510776.20300000004,2020-Q3
4,AgroDistrib Europe,Distributors,8082,Soft drinks,679607.22,113267.86,510776.20300000004,2020-Q3
2,Nordic Dairy Farm,Farmers,8083,Cheese,413626.02,68937.67,503428.143,2020-Q4
3,TerraCrop Union,Farmers,8083,Flour,653517.91,108919.65,503428.143,2020-Q4
7,MarketMart Luxembourg,Retail (B2C),8083,Soft drinks,341929.8,56988.310000000005,503428.143,2020-Q4
8,DailyNeeds Retail,Retail (B2C),8083,Detergents,287334.25,47889.04,503428.143,2020-Q4
9,SuperFrische,Retail (B2C),8083,Soft drinks,629372.03,104895.34999999999,503428.143,2020-Q4
10,LeMarché Express,Retail (B2C),8083,Detergents,365998.43,60999.729999999996,503428.143,2020-Q4
4,AgroDistrib Europe,Distributors,8083,Soft drinks,547089.87,91181.65,503428.143,2020-Q4
5,FreshLink Logistics,Distributors,8083,Detergents,623193.0599999999,103865.52,503428.143,2020-Q4
6,EuroSupply Chain,Distributors,8083,Soft drinks,774707.13,129117.86,503428.143,2020-Q4
