SellerCompanyID,SellerCompanyName,SellerSector,Period,Good,AmountTotal,AmountVAT,MarketVolume,CalcVATPeriod
1,GreenFields Farm,Farmers,8080,Tomatoes,1938.22,323.01,1440.62625,2020-Q1
2,Sunshine Growers,Farmers,8080,Tomatoes,1598.24,266.38,1440.62625,2020-Q1
3,TomatoMagic Co.,Food Producers,8080,Canned Tomatoes,1049.57,174.91,1440.62625,2020-Q1
4,Farm2Can Ltd.,Food Producers,8080,Canned Tomatoes,1214.1,202.35,1440.62625,2020-Q1
5,FreshLink Logistics,Distributors,8080,Canned Tomatoes,532.85,88.82000000000001,1440.62625,2020-Q1
6,AgroDistrib Europe,Distributors,8080,Cheese,1799.64,299.93,1440.62625,2020-Q1
8,Napoli Express,Pizzarias (B2C),8080,Pizza,1924.83,320.78999999999996,1440.62625,2020-Q1
7,Luigi's Pizzeria,Pizzarias (B2C),8080,Pizza,1467.56,244.61,1440.62625,2020-Q1
5,FreshLink Logistics,Distributors,8081,Canned Tomatoes,1447.97,241.32,1550.50875,2020-Q2
1,GreenFields Farm,Farmers,8081,Tomatoes,1331.6399999999999,221.94,1550.50875,2020-Q2
4,Farm2Can Ltd.,Food Producers,8081,Canned Tomatoes,1906.7,317.79,1550.50875,2020-Q2
6,AgroDistrib Europe,Distributors,8081,Cheese,1658.05,276.33,1550.50875,2020-Q2
7,Luigi's Pizzeria,Pizzarias (B2C),8081,Pizza,1880.08,313.35,1550.50875,2020-Q2
8,Napoli Express,Pizzarias (B2C),8081,Pizza,1826.98,304.49,1550.50875,2020-Q2
3,TomatoMagic Co.,Food Producers,8081,Canned Tomatoes,1301.87,216.98,1550.50875,2020-Q2
2,Sunshine Growers,Farmers,8081,Tomatoes,1050.78,175.12,1550.50875,2020-Q2
5,FreshLink Logistics,Distributors,8082,Canned Tomatoes,1748.5,291.40999999999997,1460.2575,2020-Q3
6,AgroDistrib Europe,Distributors,8082,Cheese,1182.55,197.09,1460.2575,2020-Q3
8,Napoli Express,Pizzarias (B2C),8082,Pizza,842.13,140.36,1460.2575,2020-Q3
7,Luigi's Pizzeria,Pizzarias (B2C),8082,Pizza,1497.76,249.64,1460.2575,2020-Q3
3,TomatoMagic Co.,Food Producers,8082,Canned Tomatoes,976.65,162.78,1460.2575,2020-Q3
4,Farm2Can Ltd.,Food Producers,8082,Canned Tomatoes,1753.03,292.18,1460.2575,2020-Q3
1,GreenFields Farm,Farmers,8082,Tomatoes,1856.27,309.36,1460.2575,2020-Q3
2,Sunshine Growers,Farmers,8082,Tomatoes,1825.17,304.19,1460.2575,2020-Q3
7,Luigi's Pizzeria,Pizzarias (B2C),8083,Pizza,1093.89,182.31,1434.12625,2020-Q4
8,Napoli Express,Pizzarias (B2C),8083,Pizza,1608.36,268.08,1434.12625,2020-Q4
2,Sunshine Growers,Farmers,8083,Tomatoes,1607.18,267.84999999999997,1434.12625,2020-Q4
3,TomatoMagic Co.,Food Producers,8083,Canned Tomatoes,2147.09,357.87,1434.12625,2020-Q4
4,Farm2Can Ltd.,Food Producers,8083,Canned Tomatoes,1576.66,262.78,1434.12625,2020-Q4
5,FreshLink Logistics,Distributors,8083,Canned Tomatoes,1068.35,178.06,1434.12625,2020-Q4
6,AgroDistrib Europe,Distributors,8083,Cheese,1133.65,188.93,1434.12625,2020-Q4
1,GreenFields Farm,Farmers,8083,Tomatoes,1237.83,206.32,1434.12625,2020-Q4
1,GreenFields Farm,Farmers,8084,Tomatoes,1126.72,187.77,1529.7125,2021-Q1
6,AgroDistrib Europe,Distributors,8084,Cheese,1941.68,323.62,1529.7125,2021-Q1
5,FreshLink Logistics,Distributors,8084,Canned Tomatoes,1682.56,280.44,1529.7125,2021-Q1
4,Farm2Can Ltd.,Food Producers,8084,Canned Tomatoes,1271.05,211.86,1529.7125,2021-Q1
3,TomatoMagic Co.,Food Producers,8084,Canned Tomatoes,1501.95,250.32,1529.7125,2021-Q1
2,Sunshine Growers,Farmers,8084,Tomatoes,1175.64,195.95,1529.7125,2021-Q1
8,Napoli Express,Pizzarias (B2C),8084,Pizza,1590.43,265.06,1529.7125,2021-Q1
7,Luigi's Pizzeria,Pizzarias (B2C),8084,Pizza,1947.67,324.6,1529.7125,2021-Q1
5,FreshLink Logistics,Distributors,8085,Canned Tomatoes,1646.57,274.43,1536.7675,2021-Q2
1,GreenFields Farm,Farmers,8085,Tomatoes,1270.63,211.78,1536.7675,2021-Q2
4,Farm2Can Ltd.,Food Producers,8085,Canned Tomatoes,1331.85,221.97,1536.7675,2021-Q2
6,AgroDistrib Europe,Distributors,8085,Cheese,1391.48,231.9,1536.7675,2021-Q2
7,Luigi's Pizzeria,Pizzarias (B2C),8085,Pizza,1593.66,265.61,1536.7675,2021-Q2
8,Napoli Express,Pizzarias (B2C),8085,Pizza,1460.02,243.32999999999998,1536.7675,2021-Q2
3,TomatoMagic Co.,Food Producers,8085,Canned Tomatoes,2197.61,366.27,1536.7675,2021-Q2
2,Sunshine Growers,Farmers,8085,Tomatoes,1402.32,233.71,1536.7675,2021-Q2
6,AgroDistrib Europe,Distributors,8086,Cheese,2079.75,346.61,1419.0175,2021-Q3
5,FreshLink Logistics,Distributors,8086,Canned Tomatoes,954.9200000000001,159.17000000000002,1419.0175,2021-Q3
8,Napoli Express,Pizzarias (B2C),8086,Pizza,893.52,148.92000000000002,1419.0175,2021-Q3
7,Luigi's Pizzeria,Pizzarias (B2C),8086,Pizza,1720.18,286.7,1419.0175,2021-Q3
2,Sunshine Growers,Farmers,8086,Tomatoes,1514.65,252.45,1419.0175,2021-Q3
4,Farm2Can Ltd.,Food Producers,8086,Canned Tomatoes,1601.64,266.94,1419.0175,2021-Q3
1,GreenFields Farm,Farmers,8086,Tomatoes,1091.27,181.88,1419.0175,2021-Q3
