InvoiceID,InvoiceTypeCode,InvoiceIssueDateTime,InvoicePaymentDueDate,InvoiceLineSpec (Y/N),InvoiceSellerAssignedID,InvoiceBuyerPO,SellerSelect,SellerCompanyID,SellerCountry,SellerIBANID,SellerPaymentRef,SellerDeliveryInfo,SellerNotes,BuyerSelect,BuyerCompanyID,BuyerCountry,AmountTotal,AmountCurrency,AmountVAT,ConfirmedByBuyer,ConfirmedByBank,ConfirmedPaymentDate,CalcVATPeriod,CalcProductionInput
INV000001,380,2023-08-27 17:49:26,2023-09-26 17:49:26,N,Company_021,PO-Company_002-00001,Y,21,Luxembourg,DE8821829921,REF-00001,Main warehouse,,Y,2,France,24193.01,EUR,4032.17,N,Y,2023-09-23 17:49:26,2023-Q3,3
INV000002,380,2020-02-14 15:23:42,2020-03-15 15:23:42,N,Company_024,PO-Company_031-00002,Y,24,Luxembourg,DE7536876624,REF-00002,Main warehouse,,Y,31,France,38669.51,EUR,6444.92,Y,Y,2020-03-12 15:23:42,2020-Q1,2
INV000003,380,2024-05-05 16:55:45,2024-06-04 16:55:45,N,Company_014,PO-Company_046-00003,Y,14,France,DE4355717314,REF-00003,Main warehouse,,Y,46,France,19821.77,EUR,3303.63,Y,Y,2024-05-30 16:55:45,2024-Q2,3
INV000004,380,2024-08-21 03:24:23,2024-09-20 03:24:23,N,Company_009,PO-Company_040-00004,Y,9,France,DE460805889,REF-00004,Main warehouse,,Y,40,France,12557.98,EUR,2093.0,N,N,2024-09-19 03:24:23,2024-Q3,3
INV000005,380,2021-01-22 02:37:29,2021-02-21 02:37:29,N,Company_029,PO-CUST-00005,Y,29,France,DE5469350629,REF-00005,Main warehouse,,Y,,,57279.2,EUR,9546.53,N,Y,2021-02-18 02:37:29,2021-Q1,1
INV000006,380,2020-09-20 08:31:30,2020-10-20 08:31:30,N,Company_002,PO-Company_017-00006,Y,2,Luxembourg,DE776683992,REF-00006,Main warehouse,,Y,17,France,70218.56,EUR,11703.09,Y,N,2020-10-18 08:31:30,2020-Q3,3
INV000007,380,2021-02-20 21:24:36,2021-03-22 21:24:36,N,Company_024,PO-Company_031-00007,Y,24,Luxembourg,DE7041591724,REF-00007,Main warehouse,,Y,31,Luxembourg,64905.97,EUR,10817.66,N,Y,2021-03-18 21:24:36,2021-Q1,2
INV000008,380,2020-10-23 09:02:43,2020-11-22 09:02:43,N,Company_033,PO-Company_021-00008,Y,33,France,DE4778608333,REF-00008,Main warehouse,,Y,21,Luxembourg,17674.8,EUR,2945.8,Y,N,2020-11-17 09:02:43,2020-Q4,2
INV000009,380,2023-10-19 10:44:28,2023-11-18 10:44:28,N,Company_035,PO-Company_025-00009,Y,35,France,DE9313646535,REF-00009,Main warehouse,,Y,25,France,83035.54,EUR,13839.26,Y,N,2023-11-15 10:44:28,2023-Q4,3
INV000010,380,2022-12-28 02:23:09,2023-01-27 02:23:09,N,Company_023,PO-Company_030-00010,Y,23,France,DE9221492423,REF-00010,Main warehouse,,Y,30,France,6352.08,EUR,1058.68,Y,Y,2023-01-23 02:23:09,2022-Q4,3
INV000011,380,2020-07-30 02:58:19,2020-08-29 02:58:19,N,Company_039,PO-Company_050-00011,Y,39,Luxembourg,DE8265917639,REF-00011,Main warehouse,,Y,50,Luxembourg,59669.8,EUR,9944.97,Y,Y,2020-08-29 02:58:19,2020-Q3,2
INV000012,380,2024-08-03 23:13:01,2024-09-02 23:13:01,N,Company_048,PO-Company_004-00012,Y,48,Luxembourg,DE5500008348,REF-00012,Main warehouse,,Y,4,France,49895.15,EUR,8315.86,Y,N,2024-09-02 23:13:01,2024-Q3,2
INV000013,380,2025-04-13 05:09:44,2025-05-13 05:09:44,N,Company_044,PO-Company_016-00013,Y,44,France,DE1927513444,REF-00013,Main warehouse,,Y,16,Luxembourg,42017.92,EUR,7002.99,Y,Y,2025-05-09 05:09:44,2025-Q2,3
INV000014,380,2023-06-29 03:21:33,2023-07-29 03:21:33,N,Company_002,PO-Company_024-00014,Y,2,France,DE457286822,REF-00014,Main warehouse,,Y,24,Luxembourg,44413.81,EUR,7402.3,Y,Y,2023-07-29 03:21:33,2023-Q2,3
INV000015,380,2021-01-11 07:39:38,2021-02-10 07:39:38,N,Company_004,PO-Company_046-00015,Y,4,Luxembourg,DE231787134,REF-00015,Main warehouse,,Y,46,France,19531.81,EUR,3255.3,N,N,2021-02-07 07:39:38,2021-Q1,3
INV000016,380,2021-11-18 03:40:36,2021-12-18 03:40:36,N,Company_033,PO-Company_044-00016,Y,33,France,DE9565027233,REF-00016,Main warehouse,,Y,44,France,10944.74,EUR,1824.12,N,N,2021-12-16 03:40:36,2021-Q4,2
INV000017,380,2022-05-14 02:00:55,2022-06-13 02:00:55,N,Company_036,PO-Company_018-00017,Y,36,Luxembourg,DE1420539036,REF-00017,Main warehouse,,Y,18,France,3496.01,EUR,582.67,N,Y,2022-06-11 02:00:55,2022-Q2,3
INV000018,380,2024-12-09 10:57:40,2025-01-08 10:57:40,N,Company_004,PO-Company_040-00018,Y,4,France,DE170064204,REF-00018,Main warehouse,,Y,40,France,62443.61,EUR,10407.27,N,Y,2025-01-04 10:57:40,2024-Q4,3
INV000019,380,2020-07-10 20:25:43,2020-08-09 20:25:43,N,Company_024,PO-Company_031-00019,Y,24,France,DE9142068524,REF-00019,Main warehouse,,Y,31,France,90407.58,EUR,15067.93,Y,N,2020-08-05 20:25:43,2020-Q3,2
INV000020,380,2022-03-21 05:50:08,2022-04-20 05:50:08,N,Company_017,PO-CUST-00020,Y,17,France,DE2347913717,REF-00020,Main warehouse,,Y,,,79915.9,EUR,13319.32,N,Y,2022-04-20 05:50:08,2022-Q1,2
INV000021,380,2023-02-23 04:14:29,2023-03-25 04:14:29,N,Company_022,PO-Company_046-00021,Y,22,Luxembourg,DE8248157622,REF-00021,Main warehouse,,Y,46,France,65282.57,EUR,10880.43,N,Y,2023-03-25 04:14:29,2023-Q1,1
INV000022,380,2024-07-23 17:46:46,2024-08-22 17:46:46,N,Company_014,PO-Company_023-00022,Y,14,France,DE8116066814,REF-00022,Main warehouse,,Y,23,Luxembourg,9076.06,EUR,1512.68,N,N,2024-08-18 17:46:46,2024-Q3,3
INV000023,380,2020-01-03 08:50:14,2020-02-02 08:50:14,N,Company_013,PO-Company_033-00023,Y,13,Luxembourg,DE1092446013,REF-00023,Main warehouse,,Y,33,France,1231.93,EUR,205.32,N,N,2020-02-01 08:50:14,2020-Q1,1
INV000024,380,2020-07-17 04:50:15,2020-08-16 04:50:15,N,Company_050,PO-Company_011-00024,Y,50,France,DE2193743250,REF-00024,Main warehouse,,Y,11,France,39421.13,EUR,6570.19,N,N,2020-08-13 04:50:15,2020-Q3,2
INV000025,380,2023-07-21 11:42:47,2023-08-20 11:42:47,N,Company_041,PO-Company_009-00025,Y,41,Luxembourg,DE7900641941,REF-00025,Main warehouse,,Y,9,Luxembourg,15170.48,EUR,2528.41,N,Y,2023-08-19 11:42:47,2023-Q3,3
INV000026,380,2023-05-07 11:28:48,2023-06-06 11:28:48,N,Company_046,PO-Company_009-00026,Y,46,Luxembourg,DE8624431446,REF-00026,Main warehouse,,Y,9,France,9866.12,EUR,1644.35,N,Y,2023-06-01 11:28:48,2023-Q2,3
INV000027,380,2021-08-04 03:07:27,2021-09-03 03:07:27,N,Company_002,PO-Company_011-00027,Y,2,Luxembourg,DE108466782,REF-00027,Main warehouse,,Y,11,France,6459.41,EUR,1076.57,N,N,2021-08-29 03:07:27,2021-Q3,3
INV000028,380,2023-03-01 08:02:56,2023-03-31 08:02:56,N,Company_019,PO-CUST-00028,Y,19,Luxembourg,DE3232715119,REF-00028,Main warehouse,,Y,,,1586.71,EUR,264.45,Y,N,2023-03-28 08:02:56,2023-Q1,3
INV000029,380,2021-03-28 23:43:30,2021-04-27 23:43:30,N,Company_001,PO-CUST-00029,Y,1,Luxembourg,DE392483591,REF-00029,Main warehouse,,Y,,,3498.68,EUR,583.11,Y,Y,2021-04-23 23:43:30,2021-Q1,3
INV000030,380,2024-05-21 14:32:54,2024-06-20 14:32:54,N,Company_042,PO-Company_021-00030,Y,42,France,DE6877728042,REF-00030,Main warehouse,,Y,21,France,7603.8,EUR,1267.3,N,N,2024-06-19 14:32:54,2024-Q2,1
INV000031,380,2020-12-22 16:09:33,2021-01-21 16:09:33,N,Company_015,PO-CUST-00031,Y,15,Luxembourg,DE6685773915,REF-00031,Main warehouse,,Y,,,3333.83,EUR,555.64,N,N,2021-01-20 16:09:33,2020-Q4,2
INV000032,380,2020-09-16 07:34:37,2020-10-16 07:34:37,N,Company_044,PO-Company_016-00032,Y,44,Luxembourg,DE2342248644,REF-00032,Main warehouse,,Y,16,France,1203.79,EUR,200.63,N,Y,2020-10-12 07:34:37,2020-Q3,3
INV000033,380,2023-09-22 19:24:00,2023-10-22 19:24:00,N,Company_042,PO-Company_006-00033,Y,42,Luxembourg,DE7336407942,REF-00033,Main warehouse,,Y,6,Luxembourg,32062.3,EUR,5343.72,N,N,2023-10-20 19:24:00,2023-Q3,1
INV000034,380,2024-02-02 22:02:40,2024-03-03 22:02:40,N,Company_020,PO-Company_027-00034,Y,20,France,DE7638499020,REF-00034,Main warehouse,,Y,27,Luxembourg,28543.63,EUR,4757.27,N,Y,2024-03-03 22:02:40,2024-Q1,2
INV000035,380,2024-12-28 12:33:12,2025-01-27 12:33:12,N,Company_001,PO-Company_019-00035,Y,1,France,DE736279911,REF-00035,Main warehouse,,Y,19,France,25533.8,EUR,4255.63,N,Y,2025-01-24 12:33:12,2024-Q4,3
INV000036,380,2021-10-21 17:09:23,2021-11-20 17:09:23,N,Company_019,PO-Company_035-00036,Y,19,Luxembourg,DE2053117719,REF-00036,Main warehouse,,Y,35,Luxembourg,68386.6,EUR,11397.77,N,Y,2021-11-16 17:09:23,2021-Q4,3
INV000037,380,2020-11-07 22:46:40,2020-12-07 22:46:40,N,Company_021,PO-CUST-00037,Y,21,Luxembourg,DE1810095521,REF-00037,Main warehouse,,Y,,,64704.92,EUR,10784.15,N,Y,2020-12-07 22:46:40,2020-Q4,3
INV000038,380,2020-03-16 17:04:07,2020-04-15 17:04:07,N,Company_032,PO-Company_028-00038,Y,32,Luxembourg,DE7630945232,REF-00038,Main warehouse,,Y,28,Luxembourg,7772.38,EUR,1295.4,Y,N,2020-04-14 17:04:07,2020-Q1,2
